payload_entropy,topic_diversity,temporal_clustering_score,normal_emergency_ratio,inter_alert_interval_mean,freq_rolling_std_5w,inter_interval_variance,alert_rate_acceleration,label,attack_type
4.418956965750983,3.0,1.0,166.15384615384616,0.0273910068596402,5.813776741499454,7.433027257670317e-17,13.0,1,normal
4.418956965750983,3.0,1.0,166.15384615384616,0.0273910068596402,7.12039324756716,7.433027257670317e-17,13.0,1,normal
4.418956965750983,3.0,1.0,166.23076923076923,0.0273910068596402,7.12039324756716,7.433027257670317e-17,13.0,1,normal
4.418956965750983,3.0,1.0,166.23076923076923,0.0273910068596402,5.813776741499454,7.433027257670317e-17,-13.0,1,normal
4.418956965750983,3.0,1.0,166.23076923076923,0.0273910068596402,0.0,7.433027257670317e-17,-13.0,1,normal
4.418956965750983,3.0,1.0,166.23076923076923,0.0273910068596402,0.0,7.433027257670317e-17,-13.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
4.361902496976855,3.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,9.167750733647124e-17,13.0,1,normal
4.361902496976855,3.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,9.167750733647124e-17,13.0,1,normal
4.361902496976855,3.0,1.0,166.15384615384616,0.0273930902282396,7.12039324756716,9.167750733647124e-17,13.0,1,normal
4.361902496976855,3.0,1.0,166.15384615384616,0.0273930902282396,5.813776741499454,9.167750733647124e-17,-13.0,1,normal
4.361902496976855,3.0,1.0,166.15384615384616,0.0273930902282396,0.0,9.167750733647124e-17,-13.0,1,normal
4.361902496976855,3.0,1.0,138.30769230769232,0.0273930902282396,0.0,9.167750733647124e-17,-13.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
